"","X.1","X","date","inflation","m2","unemployment","tb3m","tb6m","reserves","persincome","indprod","persconsind","pcomodind","m1","deposits","avehourearn","wages","houseunits","tresu10y","mbase","housesalesprice","dispincome","loansbanks","IntDiscUS","housesupply","Linflation","Lm2","Lunemployment","Ltb3m","Ltb6m","Lreserves","Lpersincome","Lindprod","Lpersconsind","Lpcomodind","Lm1","Ldeposits","Lavehourearn","Lwages","Lhouseunits","Ltresu10y","Lmbase","Lhousesalesprice","Ldispincome","Lloansbanks","LIntDiscUS","Lhousesupply","coraveearn.unem","corhouseuni.unem","cormbase.unem","cortres10y.unem","corwages.unem","corun.unem","corm2.unem","corGDP.unem","cortb3m.unem","cortb6m.unem","correserves.unem","cordisc.unem","cordispinc.unem","corhouseprice.unem","corhousesupp.unem","corloans.unem","corcomind.unem","cordeposits.unem","corm1.unem","corperscons.unem","corpersinc.unem"
"1",1,3,"1964-03-01",30.94,399.8,3950,3.54,3.72,3.43,517,29.0374,18.353,31.6,32.6,121.4,2.5,330.6,1517,4.22,53830,19000,13365,52.7139,3.5,5.8,0,0.00578622809629348,-0.00990131364808988,0.00283286876783873,0.0108699933182029,-0.00723601630426718,0.00524990240187062,0.00337946524199761,0.00106362709539742,-0.00315458459663231,0.00462252907202543,0.00165016651432826,0,0.00838817903853206,-0.0275710866305103,0.00595954611860516,-0.00377541861154995,0.0326202609342001,0.0120022421360853,0.00280884385513147,0,0,-0.944255186562223,0.684245349455788,-0.931193520955183,-0.867679930323086,-0.944154174640823,-0.915884325648799,-0.967345660039943,-0.967028991472769,-0.906573331204636,-0.888712157892386,-0.89410196904122,0.227851197189803,-0.966894716990336,-0.809832695743438,-0.0682028504273686,-0.953679116080748,-0.965022987145234,-0.972465759315794,-0.951630981698993,-0.91104418682725,-0.949980677892921
"2",2,4,"1964-04-01",30.95,401.7,3918,3.47,3.66,3.47,520.6,29.5125,18.368,31.6,32.7,121.5,2.52,332.8,1448,4.23,54052,18800,13424,53.229,3.5,6,0.000107717995228314,0.00543785849717437,-0.00931229556228708,-0.00476879855041257,0.00182648858820852,-0.000959233275871663,0.00581297428525899,0.00766272620922415,0.000981408483871811,-0.00210305639775488,0.00410261589153234,0.0013745723946205,0.0026560565497256,0.00780296054573141,-0.0338978598879637,0.00476198574915883,-0.00114507454004216,0.0182194708459544,0.00946976146871255,0.00511395681151387,0,0.0113005172252271,-0.934532050211293,0.691546357060031,-0.924931532169256,-0.867384712920226,-0.937584055835087,-0.911032530611726,-0.960032156860288,-0.964941929968848,-0.898184570365574,-0.874676008953196,-0.8858896479478,0.23852534717814,-0.959445545493699,-0.805198616930986,-0.0915914771349759,-0.949028197679524,-0.968615798656451,-0.966160404845521,-0.943245712497619,-0.904450253760842,-0.941578516114257
"3",3,5,"1964-05-01",30.98,404.2,3764,3.48,3.6,3.5,523.9,29.6802,18.37,31.5,32.9,121.9,2.52,334.9,1467,4.2,54273,19300,13481,53.7445,3.5,6.2,0.000322997460950658,0.00562945977395191,-0.0170089961215192,-0.00285717395590568,-0.00276245904664629,0.00143266867724628,0.0059394391773715,0.00716360825924778,0.000763276135373525,-0.00236968598863596,0.00460135688567875,0.00185262272262121,0.0019920424122942,0.00742478812257485,-0.0221643436166428,0.00179212236965315,0.000161273977816734,0.0202266596532001,0.00816160534755372,0.00624496150393672,0,0.0166728436246681,-0.92454046230846,0.710529981107453,-0.91736671062251,-0.872170411302267,-0.930400698507115,-0.903878520082225,-0.950735681283065,-0.962680969991747,-0.861910595832247,-0.83809597129355,-0.858155853046026,0.240891813518489,-0.952944388615363,-0.79535406859951,-0.115741066063011,-0.942632540528768,-0.971121604750877,-0.961361066751667,-0.933892321458319,-0.896904526888586,-0.933435467050626
"4",4,6,"1964-06-01",31.01,407.1,3814,3.48,3.56,3.5,526.6,29.7641,18.397,31.5,33.2,121.9,2.53,336.8,1550,4.17,54940,18800,13514,54.2937,3.5,5.7,0.000451977593487562,0.00593337792704407,-0.0109679398061964,-0.00228573916472454,-0.00444462735694207,0.00114613494179703,0.00577963547150429,0.00629544910177691,0.000904362631621236,-0.00189574879090877,0.00549652913876644,0.00148209817809697,0.00238571417305473,0.00707129101166242,-0.00672438853925197,0,0.00257198217423209,0.0109316825075727,0.00701826396225407,0.00702934158686945,0,-0.00347834854237381,-0.909529189772122,0.707697635630151,-0.908927595788719,-0.874804516898252,-0.920016877576347,-0.892732032205727,-0.936783131959961,-0.960155499752919,-0.807825089274402,-0.793476347906667,-0.824775345655462,0.0337160199440838,-0.943986150063534,-0.768424151738364,-0.138979716786266,-0.932985952559529,-0.969295872235911,-0.951651417585297,-0.920567795851262,-0.883184599974844,-0.92198475209107
"5",5,7,"1964-07-01",31.02,410.1,3608,3.46,3.56,3.42,529.6,29.9597,18.421,31.6,33.2,123,2.53,338.6,1562,4.19,55426,19100,13544,54.7159,3.5,5.5,0.000430385433912125,0.00616817775405002,-0.0183941006681388,-0.00286540009006212,-0.00370385613078505,-0.00289862378531151,0.00576315581968512,0.0063379035772985,0.000970920580756651,-0.00105152819887744,0.00458044094897203,0.00273230162927929,0.00198809514421228,0.00678110706486261,-0.0043183037016535,0.000797449687222729,0.00361117132388096,0.0117483129590908,0.00621812991868698,0.00714880890525649,0,-0.00885163755232473,-0.886398014663527,0.69801126198687,-0.890443474394715,-0.86983627076496,-0.902346011851565,-0.870978306188767,-0.910093774810555,-0.954797358217323,-0.757597097060405,-0.75933764645191,-0.79853622361901,-0.0821031215341346,-0.928576710878163,-0.723881959176012,-0.14715551182466,-0.915785291783337,-0.962209059011868,-0.926171760356517,-0.901765877443738,-0.861250307635649,-0.902809274519492
"6",6,8,"1964-08-01",31.05,413.4,3655,3.5,3.61,3.5,533.7,30.1553,18.436,31.6,33.4,123.9,2.55,342,1569,4.19,55427,18900,13607,55.1046,3.5,5.4,0.000506994747795427,0.00643195448199358,-0.0139174447153526,-0.000814003016376796,-0.00118227275769426,0.000818667815569306,0.00604154480503016,0.00636213880977283,0.000948497167531632,-0.00090130988475209,0.00478409567914907,0.00338346329119358,0.00282894675659709,0.00723970139324935,-0.0030626285537886,0.000683528303333768,0.00309786712209232,0.00856620925250822,0.00599278584142989,0.00713881529610256,0,-0.0102084234260207,-0.866075278546248,0.674691366284235,-0.87320708604161,-0.856661764490954,-0.888290017383567,-0.851636710579567,-0.889885633546264,-0.955012414956117,-0.738834302770735,-0.74894190310917,-0.755076589298161,-0.3770011759547,-0.917565170767058,-0.706072782858229,-0.124884168410315,-0.902652185494089,-0.958453489352368,-0.904589788181528,-0.887770845713206,-0.841657353751057,-0.887360965241837
"7",7,9,"1964-09-01",31.08,416.9,3712,3.53,3.68,3.45,536.7,30.2671,18.464,31.7,33.6,124.6,2.55,343.6,1455,4.2,55887,18900,13642,55.7749,3.5,5.4,0.000564335044315856,0.00668180237662974,-0.010243423910657,0.000354610166899971,0.00136613381652378,-0.00108225784288932,0.00598702618476188,0.00602944877916323,0.00101963695501861,-0.000393701112862022,0.00493235459256847,0.00366475759457641,0.00247532841202246,0.00691817035003017,-0.0121088716254949,0.000896061184826574,0.00374375314746422,0.00749543309594469,0.00556480048922703,0.00775780715300056,0,-0.0089323704977681,-0.842115238234233,0.641668755241373,-0.854583207974652,-0.837279284679303,-0.870486304959652,-0.828797140258615,-0.862011933521091,-0.949352045551061,-0.718916456759979,-0.736645556194828,-0.715229201904748,-0.554936118194347,-0.902768275790963,-0.685619531376876,-0.104218262604126,-0.887525045892704,-0.9545765941997,-0.869363407491896,-0.869528657897169,-0.817922064744114,-0.867402992134743
"8",8,10,"1964-10-01",31.12,419.1,3726,3.57,3.72,3.36,537.4,29.8479,18.477,31.7,33.6,125,2.55,343.5,1524,4.19,56162,18900,13622,56.2908,3.5,5.3,0.000644539351696752,0.00652417656192365,-0.00868699266997927,0.00156717846461577,0.00241555407071176,-0.00389903553458557,0.00546662516407813,0.00380986242456189,0.000984546743052878,-0.000349956544766241,0.00438431519339419,0.00361368796728446,0.00220029192179774,0.00611714270583826,-0.0056153795958845,0.000531633124815153,0.00387317798034342,0.00666260719639528,0.00478347416671276,0.00791884681286249,0,-0.010016788554922,-0.812700206843943,0.625812103774135,-0.828991319052822,-0.819636189431953,-0.849558307192198,-0.801502558668881,-0.82680259243361,-0.940464519556116,-0.699742943849251,-0.722971078302999,-0.674336981782023,-0.63321254226252,-0.885934670829954,-0.655419028911564,-0.0903012523205526,-0.868098785277687,-0.949676424564521,-0.828002163530084,-0.847170795436438,-0.790071231055335,-0.84367602724831
"9",9,11,"1964-11-01",31.21,422,3551,3.64,3.81,3.52,541.3,30.7702,18.502,31.7,33.8,125.6,2.56,346.3,1486,4.15,56786,19300,13685,56.8628,3.62,5.6,0.000868871113776804,0.00656133481622989,-0.012628895224826,0.00335226920386438,0.00456455074899602,0.00114286958236227,0.00564305840982442,0.00647209653663716,0.00102130396635864,-0.000314960890289617,0.0045393572260362,0.00373117084373566,0.0023716526617316,0.00631726240985167,-0.00757889273318479,-0.000480770156810317,0.00459080466769901,0.00809066386128006,0.00476654771739309,0.00813798585920047,0.00337110573423116,-0.00350913198112701,-0.74752039325461,0.605660405867079,-0.766210838753688,-0.755053964429961,-0.799887479644535,-0.740477614897831,-0.753579079666972,-0.906949753072434,-0.672901530387046,-0.69029632834312,-0.635476446037712,-0.679031273279135,-0.84486877555455,-0.603675366328779,-0.100713701714283,-0.821515421379055,-0.9311484980666,-0.747662862248344,-0.79253494111448,-0.727477323174615,-0.789973743082261
"10",10,12,"1964-12-01",31.25,424.7,3651,3.84,3.95,3.85,547.5,31.1335,18.529,31.7,33.9,125.8,2.58,350.2,1484,4.18,57737,21000,13803,58.3481,4,5.5,0.000906321003408251,0.00654464285868294,-0.0089561003214281,0.00791012518087545,0.00743017247858011,0.00918553222848272,0.00616539927145165,0.00695078964431429,0.00106102523770338,-0.00028632808208147,0.00439525310525395,0.00353661806087265,0.00286351518721554,0.00676105386744474,-0.00701233898929334,0.000217746429632258,0.00568331327637898,0.0150294527659439,0.00511373586570262,0.00974230053657185,0.0121392175113202,-0.00482816593763167,-0.691572838994955,0.579100878619272,-0.714142753812124,-0.676992854526831,-0.755870550923869,-0.686476285532541,-0.695188617558526,-0.875875326824179,-0.647241154876614,-0.659261867487021,-0.603933171316865,-0.727912027587466,-0.809923173321092,-0.556055394091748,-0.125018388098088,-0.784209557842456,-0.918562123418463,-0.6847515048333,-0.749094722661136,-0.674802575812589,-0.744000055509905
