"","Inflation","M2","Unemp.","TB3M","TB6M","Reserves","P.Income","Ind.Prod","P.Consu","Comodities","M1","Deposits","Ave.Earn","Wages","House.Units","Tres10y","Mbase","House.Prices","Disp.Income","Loans","Disc.Rate","House.Supply"
"Inflation",1,0.944911842950313,0.690595284299577,-0.592034654302885,-0.607049183498171,-0.572447581793371,0.978127681323389,0.973467263863331,0.998207423439894,0.984676973428231,0.933667873372446,0.738906029402506,0.995456243056295,0.983104906333812,-0.391174701494588,-0.514130287655,0.749657052604151,0.981181932520045,0.990300445319777,0.966606160887912,-0.557578817642032,-0.0873136625401966
"M2",0.944911842950313,1,0.658104400519488,-0.688856827316155,-0.702764828650759,-0.659821253607619,0.984560004289835,0.912488463159095,0.928411408343693,0.9436152149667,0.995007036350456,0.866780977149301,0.968056584932524,0.976616010532583,-0.452100770301952,-0.638058645694416,0.910879173613094,0.968236574930752,0.944493139418441,0.975272329788143,-0.650703080388528,-0.0738899180897074
"Unemp.",0.690595284299577,0.658104400519488,1,-0.357448413131844,-0.364699290452205,-0.346274448241392,0.640617250999254,0.56063156846688,0.697028385609802,0.753627039285162,0.613548132862301,0.515661602112303,0.700150312318694,0.629219879412149,-0.531653869455507,-0.133354769653459,0.568637954335856,0.614284698240918,0.654494666485121,0.614839887402506,-0.316557568426525,0.170821841238702
"TB3M",-0.592034654302885,-0.688856827316155,-0.357448413131844,1,0.99819670388171,0.989109458925424,-0.676531666897958,-0.578006366017484,-0.563366079292529,-0.528708859109428,-0.712643803384565,-0.558049032408133,-0.616536908805808,-0.663381785354296,0.257099647337136,0.919407468442621,-0.650149988606232,-0.628117393346969,-0.610339775891765,-0.62835427606649,0.974616663979911,0.341411741125913
"TB6M",-0.607049183498171,-0.702764828650759,-0.364699290452205,0.99819670388171,1,0.98600656477617,-0.690887306507833,-0.59261262369498,-0.578407383419436,-0.543733331252483,-0.726283304120849,-0.569754180814847,-0.631278720801197,-0.6778496615469,0.26840108341154,0.927408177465302,-0.662167889744135,-0.642445453768474,-0.624492832001697,-0.642665168252134,0.975090168675868,0.341799884797959
"Reserves",-0.572447581793371,-0.659821253607619,-0.346274448241392,0.989109458925424,0.98600656477617,1,-0.650552949281385,-0.554765182479851,-0.545793620382027,-0.50702124321188,-0.683685143569167,-0.532109106579706,-0.593271727711149,-0.63829258549232,0.227068317958469,0.896535517602957,-0.618456004798044,-0.605677315213651,-0.586969268364163,-0.600808167635147,0.969069679980188,0.387546753625171
"P.Income",0.978127681323389,0.984560004289835,0.640617250999254,-0.676531666897958,-0.690887306507833,-0.650552949281385,1,0.964180420043804,0.964659331309656,0.962541442084161,0.98387940950962,0.791631711718517,0.990186044473954,0.99873058560765,-0.408881465568123,-0.632552275862754,0.832926761445747,0.988926644051216,0.981197765567376,0.983171314008616,-0.636415045880654,-0.0923632703516745
"Ind.Prod",0.973467263863331,0.912488463159095,0.56063156846688,-0.578006366017484,-0.59261262369498,-0.554765182479851,0.964180420043804,1,0.967984129619573,0.939692603767327,0.916233418438701,0.683037668912608,0.970760122110264,0.974693323760621,-0.259151063598543,-0.546009999521078,0.69323327546982,0.971529884462621,0.987293305698406,0.946335041839178,-0.536946825178346,-0.142516812138483
"P.Consu",0.998207423439894,0.928411408343693,0.697028385609802,-0.563366079292529,-0.578407383419436,-0.545793620382027,0.964659331309656,0.967984129619573,1,0.983655730959389,0.913538832625815,0.725535951531323,0.989409449011659,0.971212121619056,-0.381083103570588,-0.476694130939912,0.725181950354214,0.972586181907761,0.985376275551878,0.956338643313109,-0.531159330662497,-0.0845081465437643
"Comodities",0.984676973428231,0.9436152149667,0.753627039285162,-0.528708859109428,-0.543733331252483,-0.50702124321188,0.962541442084161,0.939692603767327,0.983655730959389,1,0.922306697825775,0.757253151298594,0.984640983165935,0.962858784157451,-0.447756992570632,-0.441003155644058,0.771966685598569,0.963526943204814,0.968144617157715,0.953164635462365,-0.486884036059825,0.00488733581591295
"M1",0.933667873372446,0.995007036350456,0.613548132862301,-0.712643803384565,-0.726283304120849,-0.683685143569167,0.98387940950962,0.916233418438701,0.913538832625815,0.922306697825775,1,0.860715936345594,0.95860201522125,0.976299594429508,-0.424791746416421,-0.679595617366951,0.909177277482263,0.964046899035667,0.938303897279486,0.967576739092726,-0.673175501173102,-0.117174261281885
"Deposits",0.738906029402506,0.866780977149301,0.515661602112303,-0.558049032408133,-0.569754180814847,-0.532109106579706,0.791631711718517,0.683037668912608,0.725535951531323,0.757253151298594,0.860715936345594,1,0.769336795891653,0.773796909548026,-0.423556370928187,-0.517567004215975,0.958027546803909,0.77336068670315,0.71717155129525,0.817725279212493,-0.542507888826919,-0.155677661763938
"Ave.Earn",0.995456243056295,0.968056584932524,0.700150312318694,-0.616536908805808,-0.631278720801197,-0.593271727711149,0.990186044473954,0.970760122110264,0.989409449011659,0.984640983165935,0.95860201522125,0.769336795891653,1,0.992192335640444,-0.403258491887712,-0.543613594470662,0.794406889723743,0.98707352495668,0.991633449149839,0.978058990573193,-0.577962961152422,-0.0732118654320886
"Wages",0.983104906333812,0.976616010532583,0.629219879412149,-0.663381785354296,-0.6778496615469,-0.63829258549232,0.99873058560765,0.974693323760621,0.971212121619056,0.962858784157451,0.976299594429508,0.773796909548026,0.992192335640444,1,-0.38670334133187,-0.619372754844251,0.810405236779631,0.991823345807899,0.987352064261017,0.983366276050227,-0.623085612098284,-0.100713021451053
"House.Units",-0.391174701494588,-0.452100770301952,-0.531653869455507,0.257099647337136,0.26840108341154,0.227068317958469,-0.408881465568123,-0.259151063598543,-0.381083103570588,-0.447756992570632,-0.424791746416421,-0.423556370928187,-0.403258491887712,-0.38670334133187,1,0.22403418482958,-0.503380351120208,-0.349337090031548,-0.328770394834895,-0.426211930996415,0.266739319124356,-0.40237213737942
"Tres10y",-0.514130287655,-0.638058645694416,-0.133354769653459,0.919407468442621,0.927408177465302,0.896535517602957,-0.632552275862754,-0.546009999521078,-0.476694130939912,-0.441003155644058,-0.679595617366951,-0.517567004215975,-0.543613594470662,-0.619372754844251,0.22403418482958,1,-0.616458982357251,-0.580815297308899,-0.545846127512917,-0.582291828030496,0.903924817051903,0.322587469029802
"Mbase",0.749657052604151,0.910879173613094,0.568637954335856,-0.650149988606232,-0.662167889744135,-0.618456004798044,0.832926761445747,0.69323327546982,0.725181950354214,0.771966685598569,0.909177277482263,0.958027546803909,0.794406889723743,0.810405236779631,-0.503380351120208,-0.616458982357251,1,0.796146371291872,0.738726372000199,0.838423055015256,-0.626590589290894,-0.0842565662455215
"House.Prices",0.981181932520045,0.968236574930752,0.614284698240918,-0.628117393346969,-0.642445453768474,-0.605677315213651,0.988926644051216,0.971529884462621,0.972586181907761,0.963526943204814,0.964046899035667,0.77336068670315,0.98707352495668,0.991823345807899,-0.349337090031548,-0.580815297308899,0.796146371291872,1,0.984506690334534,0.974433093248472,-0.58466155591308,-0.10025485567727
"Disp.Income",0.990300445319777,0.944493139418441,0.654494666485121,-0.610339775891765,-0.624492832001697,-0.586969268364163,0.981197765567376,0.987293305698406,0.985376275551878,0.968144617157715,0.938303897279486,0.71717155129525,0.991633449149839,0.987352064261017,-0.328770394834895,-0.545846127512917,0.738726372000199,0.984506690334534,1,0.964819399552202,-0.570518139711614,-0.0878803273518171
